text,label,template_id
"GoldenGate Careers Talent Team: Your resume matched our open role perfectly, no interview needed. Reply with your Aadhaar number so we can generate your employee ID before joining.",1,scam_37
"Job Opening: Business Analyst at SAP Labs, Gurgaon. We offer a collaborative work environment, health insurance, and competitive compensation. Apply through our careers page: https://careers.saplabs.com.",0,legit_2
Welcome to SmartWork India! Your joining date is next Monday. Please complete onboarding by paying ₹5999 for background verification. UPI: registration@phonepe,1,scam_17
"Deutsche Bank certification exam registration is now open. A nominal exam fee of ₹750 applies, fully refundable upon course completion. Register at https://careers.deutschebank.com before 3 June 2025.",0,legit_22
"We're offering a 3-month internship for Electronics students at IBM India, Mumbai. You'll work on real projects with our Frontend Developer team. Stipend provided. Apply: https://careers.ibmindia.com",0,legit_7
"Hurry! Zoho Corporation campus placement registration closes 25 September 2025. Eligible students must register on the official portal. Selection is based purely on merit, no fees at any stage.",0,legit_24
"Campus Drive Alert: Deloitte | Date: 26 September 2025 | Package: 20.0 LPA | Eligibility: 60% throughout, no backlogs | Register on the placement portal by 26 September 2025.",0,legit_9
"URGENT: You are shortlisted for GlobalHire Pvt Ltd work from home job. Salary ₹8,000/month. Pay ₹2999 processing fee to get your offer letter. WhatsApp: +91 8888877777",1,scam_2
"Hi, HR at Infosys here. Great news, you're through to the final stage! Just need your date of birth, address and bank IFSC code to prepare your employment contract.",1,scam_36
KPMG invites applications for Cloud Architect. CTC: 10.0 LPA. Location: Delhi NCR. Qualifications: B.Tech/M.Tech in Data Science. Apply by 25 November 2025.,0,legit_4
"Reminder: your CRED interview is scheduled for 2 July 2025 at 10:00 IST. Please carry your original documents. This is a formal in-person process, no online payment is required at any stage.",0,legit_26
"Hello, this is Amit from Reliance recruitment team. We reviewed your profile and would like to proceed with onboarding. Kindly share your bank account number and Aadhaar details to process your first month's salary in advance.",1,scam_30
"Limited seats available for PwC's 4-month internship cohort! Apply within 48 hours to secure your spot. Stipend: ₹25,000/month. No hidden charges. Apply: https://careers.pwc.com",0,legit_23
Thank you for your interest in Amazon. Your final round is a formality. Please share your banking details for salary account setup before we release your appointment letter.,1,scam_32
"Subject: Application for Product Manager - Zoho Corporation

Dear Hiring Manager,

I am writing to express my interest in the Product Manager position at Zoho Corporation. With 7 years of experience in Go, I believe I would be a strong fit.

Best regards",0,legit_20
"Subject: Application for DevOps Engineer - HCL Technologies

Dear Hiring Manager,

I am writing to express my interest in the DevOps Engineer position at HCL Technologies. With 5 years of experience in Python, I believe I would be a strong fit.

Best regards",0,legit_20
"Job Opening: QA Engineer at Deloitte, Delhi NCR. We offer a collaborative work environment, health insurance, and competitive compensation. Apply through our careers page: https://careers.deloitte.com.",0,legit_2
"Dear Candidate, PrimeWork Solutions is offering guaranteed placement with ₹80,000/month salary. To proceed, pay ₹499 as security deposit. Offer expires today!",1,scam_1
"Job Opening: Full Stack Developer at CRED, Hyderabad. We offer a collaborative work environment, health insurance, and competitive compensation. Apply through our careers page: https://careers.cred.com.",0,legit_2
We are looking for a Mobile Developer to join our team at SAP Labs. Requirements: 3+ years of experience in TypeScript. Competitive salary and benefits. Apply at https://careers.saplabs.com.,0,legit_0
"Google/Microsoft/Amazon is hiring freshers! Salary ₹1,50,000/month. Send your resume to hiring.paytm@gmail.com and pay ₹4999 application fee.",1,scam_21
This is from SmartWork India HR department. We found your resume on Naukri. You are shortlisted. Pay ₹999 for aptitude test. Call: +91 9999988888,1,scam_20
"🚀 We're hiring! PhonePe needs a Software Engineer in Mumbai. Great culture, competitive pay, learning opportunities. Check out the JD on our careers page. #openposition",0,legit_14
"Join our early-stage startup Infosys! We're building health tech and need a Full Stack Developer. Equity + competitive salary. If you're passionate about Cybersecurity, send your resume to careers@infosys.com.",0,legit_18
